Site,Url,Brand,Division,ExpectedText
abbotts.co.za,https://www.abbotts.co.za/,Abbotts College,Schools,
capsicumcooking.com,https://www.capsicumcooking.com/,Capsicum Culinary Studio,Tertiary,
communicate.co.za,https://www.communicate.co.za/,Communicate Recruitment,Resourcing,
crawfordinternational.co.za,https://www.crawfordinternational.co.za/,Crawford International,Schools,
crawfordinternationalschool.com,https://www.crawfordinternationalschool.com/,Crawford International (Intl),Schools,
elkanah.co.za,https://www.elkanah.co.za/,Elkanah House,Schools,
evolveonline.co.za,https://www.evolveonline.co.za/,Evolve Online,Schools,
flipperschool.com,https://www.flipperschool.com/,Flipper School,Schools,
gaboroneinternationalschool.co.bw,https://www.gaboroneinternationalschool.co.bw/,Gaborone International School,Schools,
glenwoodhouse.co.za,https://www.glenwoodhouse.co.za/,Glenwood House,Schools,
greenwoodbaycollege.co.za,https://www.greenwoodbaycollege.co.za/,Greenwood Bay College,Schools,
groupadvtech.com,https://www.groupadvtech.com/,Advtech Group,Corporate,
iie.ac.za,https://www.iie.ac.za/,The IIE,Tertiary,
iielibraryconnect.iie.ac.za,https://iielibraryconnect.iie.ac.za/,IIE Library Connect,Tertiary,
iieworldofwork.iie.ac.za,https://iieworldofwork.iie.ac.za/,IIE World of Work,Tertiary,
ijtl.iie.ac.za,https://ijtl.iie.ac.za/,IIE Journal of Teaching & Learning,Tertiary,
researchhub.iie.ac.za,https://researchhub.iie.ac.za/,IIE Research Hub,Tertiary,
juniorcolleges.co.za,https://www.juniorcolleges.co.za/,Junior Colleges,Schools,
makinischool.ac.ke,https://www.makinischool.ac.ke/,Makini School,Schools,
maragon.co.za,https://www.maragon.co.za/,Maragon Schools,Schools,
networkcontracting.co.za,https://www.networkcontracting.co.za/,Network Contracting,Resourcing,
networkrecruitmentinternational.com,https://www.networkrecruitmentinternational.com/,Network Recruitment International,Resourcing,
pecanwoodcollege.co.za,https://www.pecanwoodcollege.co.za/,Pecanwood College,Schools,
pinnaclecolleges.co.za,https://www.pinnaclecolleges.co.za/,Pinnacle Colleges,Schools,
rbi.ac.za,https://www.rbi.ac.za/,Rosebank Business Institute,Tertiary,
rosebankcollege.co.za,https://www.rosebankcollege.co.za/,Rosebank College,Tertiary,
riuc.edu.gh,https://www.riuc.edu.gh/,Regent International University College,Tertiary,
saphe.ac.za,https://www.saphe.ac.za/,SAPHE,Tertiary,
southdownscollege.co.za,https://www.southdownscollege.co.za/,Southdowns College,Schools,
talentexchange.africa,https://www.talentexchange.africa/,Talent Exchange Africa,Resourcing,
thebridgeschool.co.za,https://www.thebridgeschool.co.za/,The Bridge School,Schools,
theworkingearth.co.za,https://www.theworkingearth.co.za/,The Working Earth,Resourcing,
trinityhouse.co.za,https://www.trinityhouse.co.za/,Trinityhouse,Schools,
tygervalleycollege.co.za,https://www.tygervalleycollege.co.za/,Tyger Valley College,Schools,
wsb.edu.za,https://www.wsb.edu.za/,Wits School of Business,Tertiary,
yuni.edu.za,https://www.yuni.edu.za/,Yuni,Tertiary,
emeris.ac.za,https://www.emeris.ac.za/,Emeris,Tertiary,
